y3_hhid,gardenid,plotid,crop_loss,crop_loss_reason_rain_excess,crop_loss_reason_rain_little,crop_loss_reason_insects,crop_loss_reason_disease,crop_loss_reason_weeds,crop_loss_reason_hail,crop_loss_reason_floods,crop_loss_reason_frost,crop_loss_reason_animals,crop_loss_reason_locust,crop_loss_reason_birds,crop_loss_reason_shortage,crop_loss_reason_fertility,crop_loss_reason_security,crop_loss_reason_spoiled,crop_loss_reason_other,area_loss,area_loss_reason_drought,area_loss_reason_insects,area_loss_reason_animals,area_loss_reason_theft,area_loss_reason_disease,area_loss_reason_labor,area_loss_reason_other,area_loss_reason_rains,area_loss_reason_floods,area_loss_reason_fire,area_loss_reason_not_finished,pure_stand,pure_stand_maize,entire_plot_planted,harvest_completed,planting_month,planting_year,harvesting_month_start,harvesting_month_end,area_planted_with_crop,kgs_harvested,plot_area_ha,first_crop_planted,second_crop_planted,third_crop_planted,fourth_crop_planted,fifth_crop_planted,soil_type,soil_quality,plot_slope,month_planted_plot,half_month_planted_plot,plot_area_gps,area_planted,cultivated,season,crop_cutting,area_harvested,crop_loss_ha,area_harvested_with_crop,plot_elevation,plot_twi,hh_gps_lat,hh_gps_long,annual_temp,annual_precip,ea_id,region,district,ta_code,reside
0010-001,RG01,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,1,6.5,,4.5,6,2,200,.04,MAIZE,TOBACCO,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,DECEMBER,2ND HALF,1,.079999998,1,Rainy,,,,,1280,14,-9.50446,33.2302,211,1307,10101215,North,Chitipa,1,RURAL
0010-001,RG01,R03,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,6,7,0,150,.068,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1280,13,-9.50446,33.2302,211,1307,10101215,North,Chitipa,1,RURAL
0010-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,5,6,0,180,.2,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1280,13,-9.50446,33.2302,211,1307,10101215,North,Chitipa,1,RURAL
0010-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0010-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,7,0,0,.6160000000000001,MAIZE,,,,,Clay (Katondo),Good,Moderate slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1280,14,-9.50446,33.2302,211,1307,10101215,North,Chitipa,1,RURAL
0011-001,RG02,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.268,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1270,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0011-001,RG01,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.18,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1290,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0011-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.232,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1260,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0011-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,3,6,0,100,.068,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1290,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0011-001,RG01,R03,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.052,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1280,12,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0011-001,DG01,D01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,7,,8,9,0,0,.004,TANAPOSI,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,JULY,1ST HALF,1,0,1,Dry,,,,,1250,18,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0012-001,RG03,R01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.08,,,,,,Clay (Katondo),Fair,Slight slope,,,1,,0,Rainy,,,,,1280,13,-9.50446,33.2302,211,1327,10101215,North,Chitipa,1,RURAL
0012-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,0,12,,7,7,0,0,.08,GROUNDNUT,,,,,Clay (Katondo),Good,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1280,13,-9.50446,33.2302,211,1327,10101215,North,Chitipa,1,RURAL
0012-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,0,0,12,,6,6,0,0,.04,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1280,13,-9.50446,33.2302,211,1327,10101215,North,Chitipa,1,RURAL
0013-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0013-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,7,8,0,0,.2,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1260,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0013-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,1,12,,7,7.5,2,18.10000038146973,.52,MAIZE,BEANS,,,,Clay (Katondo),Fair,Flat,DECEMBER,2ND HALF,1,1.04,1,Rainy,,,,,1280,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0013-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0014-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.711079,33.886479,247,1717,10101215,North,Chitipa,1,RURAL
0014-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,0,1,1,12,,6,6,1.5,4.573666572570801,.6000000000000001,MAIZE,BEANS,,,,Clay (Katondo),Good,Slight slope,DECEMBER,1ST HALF,0,.89999998,1,Rainy,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0015-001,RG01,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,7,7,0,0,.6080000000000001,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1350,22,-9.548116,33.196107,208,1273,10101215,North,Chitipa,1,RURAL
0015-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,0,0,0,12,,7,7,0,0,.4400000000000001,GROUNDNUT,,,,,Clay (Katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1350,29,-9.548116,33.196107,208,1273,10101215,North,Chitipa,1,RURAL
0015-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,6,6,0,3,.16,MAIZE,,,,,Clay (Katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1350,13,-9.548116,33.196107,208,1273,10101215,North,Chitipa,1,RURAL
0015-001,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,1,,7,7,0,0,.66,MAIZE,,,,,Clay (Katondo),Fair,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1300,13,-9.548116,33.196107,208,1273,10101215,North,Chitipa,1,RURAL
0015-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.442373,33.99354,183,1166,10101215,North,Chitipa,1,URBAN
0016-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,1,1,12,,5.5,5.5,1,20.13999938964844,.284,MAIZE,BEANS,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,.28400001,1,Rainy,,,,,1260,12,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0016-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,6,6,0,92.12999725341797,.224,OTHER (SPECIFY),,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1270,14,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0017-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,1,,5,5,0,0,.084,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1280,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0017-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.34,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,490,16,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0018-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,6,6,0,0,.2,MAIZE,,,,,Clay (Katondo),Good,Flat,DECEMBER,1ST HALF,0,0,1,Rainy,,,,,,,,,,,10103414,North,Chitipa,3,RURAL
0018-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,5.5,5.5,0,0,.272,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1530,12,-9.971600000000001,33.3739,195,1206,10103414,North,Chitipa,3,RURAL
0018-001,RG02,D01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,1,10,,11.5,11.5,2,0,,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,AUGUST,1ST HALF,0,,1,Dry,,,,,,,,,,,10103414,North,Chitipa,3,RURAL
0018-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.971600000000001,33.3739,195,1206,10103414,North,Chitipa,3,RURAL
0018-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.010425,33.400512,193,1193,10103414,North,Chitipa,3,RURAL
0018-003,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,0,1,1,12,,6,6,1.75,215.0500183105469,.3,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,1ST HALF,0,.52499998,1,Rainy,,,,,,,,,,,10103414,North,Chitipa,3,RURAL
0019-001,DG01,D01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,7,,9,9,0,0,.024,TANAPOSI,,,,,Clay (Katondo),Good,Flat,JULY,2ND HALF,1,0,1,Dry,,,,,1560,17,-9.971600000000001,33.3739,193,1209,10103414,North,Chitipa,3,RURAL
0019-001,TG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,12,-9.971600000000001,33.3739,193,1209,10103414,North,Chitipa,3,RURAL
0019-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,6,6,0,18.05000114440918,.112,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1190,16,-9.971600000000001,33.3739,193,1209,10103414,North,Chitipa,3,RURAL
0020-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,1,1,11.5,,3.5,4.5,1.25,129.6412506103516,.2,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Moderate slope,DECEMBER,2ND HALF,1,.25,1,Rainy,,,,,1530,12,-9.971600000000001,33.3739,195,1202,10103414,North,Chitipa,3,RURAL
0020-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10103414,North,Chitipa,3,RURAL
0020-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,12,-9.971600000000001,33.3739,195,1202,10103414,North,Chitipa,3,RURAL
0020-001,RG01,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,6,6,0,78.66666412353516,.044,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Moderate slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1530,12,-9.971600000000001,33.3739,195,1202,10103414,North,Chitipa,3,RURAL
0021-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,0,1,0,12,,7,7,1,0,.336,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Moderate slope,DECEMBER,1ST HALF,1,.336,1,Rainy,,,,,1520,12,-9.971600000000001,33.3739,195,1206,10103414,North,Chitipa,3,RURAL
0021-001,DG01,D01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,1,7,,8.5,9,2,0,.084,TANAPOSI,TOMATO,,,,Clay (Katondo),Good,Slight slope,JULY,1ST HALF,1,.168,1,Dry,,,,,1510,14,-9.971600000000001,33.3739,195,1206,10103414,North,Chitipa,3,RURAL
0021-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,12,-9.971600000000001,33.3739,195,1206,10103414,North,Chitipa,3,RURAL
0022-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,0,0,1,1,12,,4.5,4.5,2,15,.6800000000000001,MAIZE,GROUND BEAN(NZAMA),,,,Clay (Katondo),Poor,Flat,DECEMBER,2ND HALF,1,1.36,1,Rainy,,,,,1350,13,-9.781527000000001,33.457407,204,1287,10103414,North,Chitipa,3,RURAL
0022-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,6,6,0,0,.2,RICE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1320,17,-9.781527000000001,33.457407,204,1287,10103414,North,Chitipa,3,RURAL
0022-001,RG02,D01,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,1,0,0,1,6,,10,11,0,0,.2,SWEET POTATO,,,,,Clay (Katondo),Fair,Flat,JUNE,2ND HALF,1,0,1,Dry,,,,,1320,15,-9.781527000000001,33.457407,204,1287,10103414,North,Chitipa,3,RURAL
0022-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,12,-9.781527000000001,33.457407,204,1287,10103414,North,Chitipa,3,RURAL
